フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ電話番号,問い合わせホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
55,POINT(137.202941996191 34.8551952272542),da040117,遠望峰山（とぼねやま）,幸田町と蒲郡市にまたがる遠望峰山は標高４４３m。山頂からは、幸田町、蒲郡市、三河湾が一望できる。,幸田町役場環境経済部産業振興課商工観光グループ,0564-62-1111(内線261・262）,https://www.town.kota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 10:08:39
56,POINT(137.043611034728 34.775463783401),da040118,三河湾に広がる一色干潟,一色干潟は、西尾市一色町から吉良町の沿岸に広がる三河湾最大の干潟です。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 10:09:21
57,POINT(137.034369843977 34.7263218091648),da040119,「三河湾の黒真珠」佐久島,西尾市一色町佐久島内集落の路地では黒く塗られた板壁が連なり、その風景から佐久島は「三河湾の黒真珠」といわれています。,西尾市役所佐久島振興課,0563-72-9607,http://www.sakushima.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 14:40:17
58,POINT(137.044559795831 34.7172902615827),da040120,「佐久島のお庭」,西尾市一色町佐久島の離れ小島「大島」に渡ると、植樹した梅園の中に「佐久島のお庭」が現われる。,西尾市役所部佐久島振興課,0563-72-9607, http://www.sakushima.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 14:40:40
59,POINT(137.011593743837 34.9064776993354),da040121,油ヶ淵,碧南市にある油が淵は、愛知県で最大規模の自然湖。鯉、鮒、ボラなどの釣りが楽しめます。,碧南市観光協会,0566-95-9894,https//www.hekinan-kanko.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 10:15:01
60,POINT(136.973183469491 34.8459867175288),da040122,碧南市前浜新田の松並木,碧南市前浜旧堤防に連なる深緑の松,碧南市役所　都市整備課   ,0566-410-3311(441),https://www.city.hekinan.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 15:08:39
61,POINT(137.234463422141 35.0719693656158),da050101,王滝渓谷,四季折々に変化する山々と渓谷が織りなす、自然美豊かなスポット。,ツーリズムとよた,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:43:21
62,POINT(137.120738597746 35.0052980474783),da050102,明治緑道（水車公園）,明治用水の歴史がわかります。,豊田市公園緑地つかう課,0565-34-6621,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 15:27:27
63,POINT(137.178516498434 35.0487029038103),da050103,水源公園,豊田市内最大の桜の名所です。,豊田市公園緑地つかう課,0565-34-6621,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 15:30:06
64,POINT(137.227346614401 35.1009010048398),da050104,鞍ヶ池公園,豊かな自然と四季の移ろいを感じることの出来る公園。,豊田市公園緑地つくる課,0565-80-5310,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 15:37:09
65,POINT(137.188214713392 35.1203857483783),da050105,枝下（しだれ）用水,東海疎水百選にも選ばれた名用水。,水土里ネット豊田（豊田土地改良区）,0565-28-2855,http://toyotochi.org/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/01 15:25:36
66,POINT(137.224232129513 35.1174713069988),da050106,鷹見の里（たきみのさと）ビオトープ,身近な地域の自然を守り育てる活動を続けています。,豊田市立上鷹見小学校,0565-41-2017,http://www2.toyota.ed.jp/swas/index.php?id=s_kamitakimi,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
67,POINT(137.285732017278 35.0617703839146),da050107,六所山（ろくしょさん）,荘厳な空気に満ちた巨木林と多彩な昆虫や野鳥観察が楽しめる山,豊田市こども部次世代育成課,0565-34-6630,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 16:07:16
68,POINT(137.285732017278 35.0617703839146),da050108,焙烙山（ほうろくさん）,豊田市最高峰で、市民が運び上げた石で作られた「２１世紀の城」が昭和６０年１１月に完成しています。,ツーリズムとよた,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:57:12
69,POINT(137.170993717769 35.2011664913185),da050109,猿投山・菊石,原生林で森林浴を兼ねたハイキングと菊石の不思議さを見ます。,ツーリズムとよた,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:58:25
70,POINT(137.260974154691 35.0505599067575),da050110,松平郷・散策道,５つの自然歩道を踏破してみませんか？,松平観光協会,0565-77-8089,http://www.matudaira-sato.com/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
71,POINT(137.195837339875 35.205408853002),da050111,しだれ桜（金剛寺）,樹齢３００年の豪勢な桜の木,藤岡観光協会,0565-76-6108,http://www.fujioka-kanko.com/html/sidaresakura.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
72,POINT(137.247754344288 35.1950456591003),da050112,ふじの回廊,藤岡の花である「ふじ」をテーマにした散策路です。,藤岡観光協会,0565-76-6108,http://www.fujioka-kanko.com/html/fujinokairo.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/01 16:00:30
73,POINT(137.310260885517 35.2447471571136),da050113,四季桜・四季の回廊,小原の文化・歴史・四季折々の豊かな自然に触れることができます,豊田市小原観光協会,0565-65-3808,https://www.kankou-obara.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/01 15:51:40
74,POINT(137.311523704725 35.1329124462367),da050114,香嵐渓,4000本の紅葉がある渓谷。カタクリ、紅葉の時期は行楽客で一杯になり、夏は川遊びも楽しめます。,豊田市足助観光協会,0565-62-1272,http://asuke.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 09:22:41
75,POINT(137.314041787522 35.1358120877142),da050115,中馬街道,塩の道「中馬街道」で、足助の黄金時代の礎を見ます。,豊田市足助観光協会,0565-62-1272,http://asuke.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/02 11:05:09
76,POINT(137.392653661363 35.1030493650466),da050116,田之士里湿原,美しくかわいい可憐な花の見学をどうぞ。,西三河県民事務所　豊田加茂環境保全課,0565-32-7494,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 09:36:21
77,POINT(137.315683778376 35.1335925066321),da050117,カタクリ,香嵐渓の飯盛山麓の北面斜面に、約５，０００㎡の大群落をつくって咲く。,豊田市足助観光協会,0565-62-1272,http://asuke.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 09:48:20
78,POINT(137.375562815749 35.0768926573756),da050118,三河高原,高原牧場でのんびり草を食べている牛の見学。,香恋の里しもやま観光協会,0565-90-2530,http://www.karen-shimoyama.jp/spot3_139.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/02 11:12:31
79,POINT(137.405338860654 35.0331528299527),da050119,三河湖,春は山ツツジ、夏はカジカガエルが鳴き、秋は紅葉が楽しめます。,香恋の里しもやま観光協会,0565-90-2530,http://www.karen-shimoyama.jp/spot3_183.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/02 11:14:43
80,POINT(137.363597305544 35.0669425173697),da050120,もみじ街道（加茂広域農道）,秋の紅葉を楽しみながら、爽やかなドライブ,豊田市役所下山支所,0564-86-2111,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
81,POINT(137.358341372124 35.0276831283824),da050121,羽佐の窪渓谷,三河湖の近く、爽やかな渓流の水が流れる,香恋の里しもやま観光協会,0565-90-2530,http://www.karen-shimoyama.jp/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 13:56:16
82,POINT(137.420025302874 35.0829378423604),da050122,保殿の七滝（ほでんのななたき）,野原川の上流で、随所に七つの滝がある,香恋の里しもやま観光協会,0565-90-2530,http://www.karen-shimoyama.jp/spot3_140.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 10:09:29
83,POINT(137.413602569473 35.196786188735),da050123,東海自然歩道,小鳥のさえずりと爽やかな風を感じながら、心地よいハイキング,豊田市役所旭支所,0565-68-2211,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
84,POINT(137.324881124122 35.1968444583702),da050124,お須原山縁結び岩,縁結びの願を届けてみませんか。,豊田市旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 13:48:05
85,POINT(137.360609403121 35.2034000795943),da050125,貞観杉,１０００年以上、森を見守り続けてきた森の神様に会いに行こう。,豊田市旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:04:22
86,POINT(137.384040049286 35.2422303014234),da050126,時瀬大いちょう,県下最大の大いちょう。３００年の歴史を感じてみませんか。,豊田市旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:05:53
87,POINT(137.444763089305 35.2273405031071),da050127,黒谷渓谷,閑静で神秘的な美しさを持つ渓谷,豊田市旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:07:22
88,POINT(137.384912702932 35.19881545036),da050128,押井磨崖仏（おしいまがいぶつ）,自然の岸壁に彫り込まれた、自然の仏様,豊田市旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:08:35
89,POINT(137.422454580846 35.2180327768616),da050129,奥矢作湖,矢作ダムの完成でできた人造湖,豊田市旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:09:56
90,POINT(137.543982434661 35.2025979428715),da050130,面の木原生林,天竜奥三河高原国定公園の一角にあり、大自然の景観は絶景。真冬には樹氷が見られます。,いなぶ観光協会,0536-86-3200,https://www.inabu-kankou.com/inabuarticle/393,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 14:35:15
91,POINT(137.509888697495 35.2094511462634),da050131,名倉川遊歩道,清流名倉川の両岸を歩いて、紅葉と豊かな動植物を楽しみましょう。,いなぶ観光協会,0536-86-3200,https://www.inabu-kankou.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:25:37
92,POINT(137.486108978746 35.2513337682383),da050132,押川大滝,稲武の豊かな水の原点を見てみよう。,いなぶ観光協会,0536-86-3200,https://www.inabu-kankou.com/inabuarticle/400,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 14:38:25
93,POINT(137.510943273257 35.2146945128198),da050133,夏焼城ヶ山の花々,稲武地区　夏焼城ヶ山の登山コースで見られる四季の花々,いなぶ観光協会,0536-86-3200,https://www.inabu-kankou.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 14:42:36
94,POINT(137.509765597166 35.2141299511014),da050134,しだれ桜（瑞龍寺）,稲武地区の桜の名所,いなぶ観光協会,0536-86-3200,https://www.inabu-kankou.com/inabuarticle/367,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 14:45:56
95,POINT(137.509888697495 35.2094511462634),da050135,大井平公園,稲武地区の紅葉の名所,いなぶ観光協会,0536-86-3200,https://www.inabu-kankou.com/inabuarticle/82,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 14:48:35
96,POINT(137.240887750281 35.0343204073274),da050136,二畳ケ滝,落差３０ｍ、巾７ｍ岡崎市との境にあります。激流が二層になり流れ落ちます。,ツーリズムとよた,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:41:51
97,POINT(137.198197800037 35.0893373505268),da050137,自然観察の森,昆虫、小動物、鳥やかわいい花が見られる市街地に近い森です。,豊田市自然観察の森,0565-88-1310,https://toyota-shizen.org/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 15:02:07
98,POINT(137.23751106631 35.0712374389575),da050138,天下峯,松平親氏が山頂で天下泰平を祈願したと伝えられる景色のよい場所です。,ツーリズムとよた,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 15:04:01
99,POINT(137.23751106631 35.0712374389575),da050139,巴川（ともえがわ）おう穴,河床約２００ｍに約１５０個のおう穴が見られます。,ツーリズムとよた,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 15:05:20
100,POINT(137.117832714824 35.0463768856245),da050140,竹村駅近くのビオトープ　（豊田市竹町上沖）,６月には蓮の花等が美しく咲き、田んぼの生き物も観察できます。,なし,"","","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
101,POINT(137.056385517367 35.043740369575),da050141,阿知和池,池周辺の遊歩道と蓮の花を楽しむ。交通量が多い中のやすらぎ場です。,なし,"","","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
102,POINT(137.543982434661 35.2025979428715),da050142,黒田ダム,四季の景色とともに、ゆっくりとした時間を感じることができます。,いなぶ観光協会,0565-83-3200,https://www.inabu-kankou.com/inabuarticle/422,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 15:08:02
103,POINT(137.53977262787 35.2618170785257),da050143,子持ち桂,県の天然記念物。１株から５０数本にも分かれ子宝に恵まれる説も。,いなぶ観光協会,0565-83-3200,https://www.inabu-kankou.com/inabuarticle/411,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 15:10:42
104,POINT(137.5050502646 34.8944584157228),da060101,桜淵公園,新城市指定名勝であり、桜渕県立自然公園に指定されています。三河の嵐山といわれ、桜と渓谷が綺麗な公園です。,新城市観光協会,0536-29-0829,http://shinshirokankou.com,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 15:17:03
105,POINT(137.546295407497 34.9412135092217),da060102,鮎滝,新城市指定名勝であり、江戸時代からの続く鮎の「笠網漁」が行われている場所です。出沢地区にあります。,新城市観光協会,0536-29-0829,http://shinshirokankou.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 15:20:43
106,POINT(137.568349854841 35.0500938452597),da060103,四谷（よつや）の千枚田,新城市四谷にあります。標高差約２１０ｍにわたる千枚田であり、古き良き日本の原風景です。日本の棚田百選に選ばれています。,新城市 鳳来総合支所 地域課,0536-22-9931,https://www.city.shinshiro.lg.jp/kanko/meisyo/senmaida.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 15:25:34
107,POINT(137.586237591384 34.9788537710646),da060104,鳳来寺山,新城市にあります。標高６９５ｍ、紅葉の名所でもある国指定名勝、天然記念物です。,新城市 教育部 生涯共育課 設楽原歴史資料館,0536-22-0673 ,https://www.city.shinshiro.lg.jp/kanko/meisyo/horaijisan.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 15:30:41
108,POINT(137.645435664902 34.9505991371444),da060105,阿寺の七滝（あてらのななたき）,新城市下吉田（阿寺地区）にある全長６２ｍの滝で、国指定名勝です。日本の滝百選に選ばれています。,新城市観光協会,0536-29-0829,http://shinshirokankou.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 15:38:38
109,POINT(137.664392171667 35.0218918397955),da060106,乳岩峡（ちいわきょう）,新城市川合にあります。 鍾乳石などがある国指定天然記念物（昭和９年）の景勝地です。,新城市 教育部 生涯共育課 設楽原歴史資料館,0536-22-0673 ,https://www.city.shinshiro.lg.jp/kanko/meisyo/chiiwa.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 15:44:13
110,POINT(137.613984702214 34.967585535315),da060107,馬背岩（うまのせいわ）,新城市の湯谷温泉付近の宇連川にある奇岩です。 文字どおり、馬の背の形をした岩で、国指定天然記念物です。,新城市 教育部 生涯共育課 設楽原歴史資料館,0536-22-0673,https://www.city.shinshiro.lg.jp/kanko/meisyo/umanoseiwa.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 15:48:54
111,POINT(137.576561643508 34.858999306567),da060108,黄柳野（つげの）つげ自生地,新城市黄柳野にある国指定天然記念物です。,新城市 教育部 生涯共育課 設楽原歴史資料館,0536-22-0673,https://www.city.shinshiro.lg.jp/kanko/dobutsu-syokubutsu/tsugeno.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 15:56:12
112,POINT(137.575124339461 34.9707423786913),da060109,ネズの樹,新城市門谷にある県指定天然記念物です。,新城市教育委員会設楽原歴史資料館,0536-22-0673,https://www.city.shinshiro.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 15:59:33
113,POINT(137.614280015931 34.9030389312841),da060110,満光寺（まんこうじ）庭園,新城市下吉田にある江戸時代中期の庭園で県指定名勝です。,新城市教育委員会設楽原歴史資料館,0536-22-0673,https://www.city.shinshiro.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 16:08:23
114,POINT(137.503828568711 35.0557171079687),da060111,鳴沢（なるさわ）の滝,新城市指定名勝であり、愛知県でも最大級の滝です。新城市作手守義にあります。,新城市観光協会,0536-29-0829,https://shinshirokankou.com,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 16:11:39
115,POINT(137.45519073553 35.0007449683226),da060112,長ノ山（ながのやま）湿原,環境省が選定した日本の重要湿地５００の一つ「作手中間湿原群」を構成する代表的な湿原で、県指定天然記念物に指定されています。,新城市 教育部 生涯共育課 設楽原歴史資料館,0536-22-0673,https://www.city.shinshiro.lg.jp/kanko/meisyo/naganoyama.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 16:16:00
116,POINT(137.424714706974 34.9315622301144),da060113,保永の三滝（やすながのさんたき）,新城市作手保永にあり、奇岩と深緑で代表される景観美です。,(一社）奥三河観光協議会,0536-29-9393,http://www.okuminavi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 10:49:46
