フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ電話番号,問い合わせホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
117,POINT(137.42782934744 34.8781245885046),da060114,本宮山,新城市、岡崎市、豊川市にまたがり、山頂から麓にかけて見事な樹林が続く三河の名山です。,新城市 教育部 生涯共育課 設楽原歴史資料館,0536-22-0673,https://www.city.shinshiro.lg.jp/kanko/meisyo/motomiyazan.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 14:00:43
118,POINT(137.442172521013 34.9736589359519),da060115,甘泉寺（かんせんじ）のコウヤマキ,新城市作手地区にある国指定天然記念物で新・日本名木百選に選ばれています。,新城市 教育部 生涯共育課 設楽原歴史資料館,0536-22-0673,https://www.city.shinshiro.lg.jp/kanko/dobutsu-syokubutsu/koyamaki.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 14:06:29
119,POINT(137.413956096001 34.9649032450238),da060116,須山のイヌツゲ,新城市作手清岳にある県指定天然記念物です。,新城市 教育部 生涯共育課 設楽原歴史資料館,0536-22-0673,https://www.city.shinshiro.lg.jp/kanko/dobutsu-syokubutsu/inutsuge.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 14:08:49
120,POINT(137.600764720377 35.0874105814041),da060117,岩古谷山（いわこやさん・いわごやさん）,北設楽郡設楽町にある県指定名勝で、ハイキングコースとなっています。,設楽町観光協会,0536-62-1000,https://www.kankoshitara.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 10:50:31
121,POINT(137.470227942665 35.1327540622208),da060118,きららの森（段戸裏谷（だんとうらだに）原生林）,北設楽郡設楽町にあり、豊川の源流部に広がる県内最大級のブナの原生林です。水源の森百選に選ばれています。,設楽町観光協会,0536-62-1000,https://www.kankoshitara.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 10:50:49
122,POINT(137.570339672508 35.0980085846442),da060119,福田寺（ふくでんじ）のイヌグス,北設楽郡設楽町田口にあり、県指定天然記念物です。,設楽町観光協会,0536-62-1000,https://www.kankoshitara.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 10:51:05
123,POINT(137.590996412709 35.1895517840144),da060120,面ノ木（めんのき）園地,豊田市と北設楽郡設楽町津具地区の境に有り、秋の紅葉、冬の霧氷など四季を通じて山の自然を楽しめます。,設楽町観光協会,0536-62-1000,https://www.kankoshitara.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 10:51:31
124,POINT(137.707090811751 35.0743270055442),da060121,蔦の渕（つたのふち）,北設楽郡東栄町のとうえい温泉横にあり、奥三河のナイアガラとも呼ばれています。,東栄町役場　振興課,0536-76-0502,http://www.town.toei.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 14:19:22
125,POINT(137.664733800347 35.0493037336459),da060123,明神山（みょうじんさん・みょうじんやま）,北設楽郡東栄町にあり、変化に富んだ登山道として人気のハイキングコースです。,東栄町役場　振興課,0536-76-0502,http://www.town.toei.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 10:51:51
126,POINT(137.659244978373 35.2228897864354),da060124,茶臼山高原,北設楽郡豊根村にあり、愛知県唯一のスキー場があります。夏涼しく四季を通じて遊べる場所です。,（一財）茶臼山高原協会,0536-87-2345,http://www.chausuyama.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 10:52:08
127,POINT(137.657788737169 35.2145664912605),da060125,茶臼山の芝桜,北設楽郡豊根村　茶臼山高原から見える南アルプスと川の流れをイメージした芝桜の花畑です。,（一財）茶臼山高原協会,0536-87-2345,http://www.chausuyama.jp/ ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 10:52:23
128,POINT(137.449979037387 34.7465645178968),da070101,葦毛湿原（いもうしつげん）と豊橋自然歩道,希少な植物の宝庫の葦毛湿原と気軽に楽しめるハイキングコース,豊橋市役所産業部観光振興課,0532-51-2430,https://www.city.toyohashi.lg.jp/3956.htm,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 10:58:53
129,POINT(137.478334759257 34.8576319698401),da070102,吉祥山（きちじょうさん）,吉祥山に登ろう！豊かな自然が見られる気軽なハイキングコース。,豊橋市役所　産業部農業支援課,0532-51-2477,https://www.city.toyohashi.lg.jp/7514.htm,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 11:02:33
130,POINT(137.352641046528 34.8523990400655),da070103,四季の森,自然観察や森林浴を楽しむことができる散策路や展望台があります。,豊川市ふれあいセンター（ゆうあいの里）,0533-88-7270,http://www.city.toyokawa.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 11:07:53
131,POINT(137.318429163748 34.8438823380534),da070104,東海道御油（ごゆ）の松並木,東海道で現存する松並木の中では代表的なもので、昭和１９年に国の天然記念物に指定されています。,豊川市観光協会,0533-89-2206,https://www.toyokawa-map.net/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 14:31:54
132,POINT(137.424864540381 34.8745339803651),da070105,本宮山（宝円寺のシダレザクラ、牛の滝）,本宮山登山の出発点であるほか、自然と歴史に触れ合えるハイキングコース「ふるさと自然のみち」の出発点になる施設です。,豊川市観光協会・豊川市産業環境部商工観光課,0533-89-2206,https://www.toyokawa-map.net/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 14:44:24
133,POINT(137.290738610433 34.8485384077697),da070106,宮路山（みやじさん）,標高３６２mの山頂から三河湾を望む。秋は紅葉が見事。,豊川市観光協会・豊川市産業環境部商工観光課,0533-89-2206,https://www.toyokawa-map.net/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 14:44:51
134,POINT(137.31190033409 34.8185041336294),da070107,御津山（みとやま）,標高９４ｍ余りの山で、家康公が大恩寺に寺領として全山を与えたことから大恩寺山とも呼ばれている。,豊川市観光協会・豊川市産業環境部商工観光課,0533-89-2206,https://www.city.toyokawa.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 14:46:24
135,POINT(137.322054461837 34.7888141564061),da070108,三河臨海緑地「日本列島」,日本列島のミニチュアを庭園風に創り上げ、回遊散策ができる。,愛知県三河港務所,0532-31-4155,https://www.pref.aichi.jp/kensetsu-somu/mikawa-komu/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 14:50:57
136,POINT(137.366404974525 34.7963040516272),da070109,とんぼ公園（ビオトープ）,多くの種類のとんぼが同居する公園。シオカラトンボ・ショウジョウトンボ・ノシメトンボ・ギンヤンマ・アオモンイトトンボ等がいます。,"","","","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
137,POINT(137.274639774066 34.8301992869162),da070110,蒲郡さがらの森,里山、自然景観等の自然休養の場として優れた森林です。,蒲郡市役所スポーツ推進課,0533-66-1222,https://www.city.gamagori.lg.jp/unit/sports/sagara.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 14:58:44
138,POINT(137.176852908972 34.8041843864022),da070112,双太山公園（そうだやま）,蒲郡市形原町にある市の公園です。 地場産業のロープを使った遊具もあります。,蒲郡市役所都市開発部都市計画課,0533-66-1141,http://www.city.gamagori.lg.jp/unit/keikaku/soudayamakouen.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
139,POINT(137.190326450942 34.7955641410057),da070113,ブルーブリッジ,正式名は、形原漁港大橋です。 橋の欄干等の色が青色をしていることから、つけられました。,愛知県三河港務所　蒲郡出張所,0533-69-5381,https://www.pref.aichi.jp/soshiki/mikawa-komu/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 15:44:40
140,POINT(137.23206329707 34.8114874379111),da070114,竹島,蒲郡市竹島町の三河湾に浮かぶ無人島で、昭和5年に島全体が国の天然記念物に指定されています。,蒲郡市観光協会,0533-68-2526,http://www.gamagori.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
141,POINT(137.021225599752 34.5812696478333),da070115,伊良湖岬灯台・恋路ヶ浜・日出の石門（ひいのせきもん）,渥美半島の最先端、海の絶景がここに広がります。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 15:48:16
142,POINT(137.216043283285 34.6160823838129),da070116,太平洋ロングビーチ,サーフィンのメッカとして年中にぎわいます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/25 15:49:48
143,POINT(137.251402433328 34.6756177457686),da070117,衣笠（きぬがさ）の森,子供から大人まで幅広く自分にあった森林浴、山歩きが楽しめる森林として親しまれています。,田原市役所（街づくり推進課）,0531-22-1111,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/26 13:43:15
144,POINT(137.041484755812 34.6131793164766),da070118,西ノ浜海浜の森,三河湾に面した松林の中にある、飛砂防止機能を高度に有した松林です。,田原市役所（街づくり推進課）,0531-22-1111,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/26 13:45:05
145,POINT(137.089353305476 34.603058782009),da070119,渥美の森,森林浴、森林レクリェーションの場として優れた森林です。,田原市役所（街づくり推進課）,0531-22-1111,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/26 13:45:39
146,POINT(137.218239477569 34.6231043935545),da070120,赤羽根文化の森,四季の森、野鳥の森、自然の森、郷土の森。四つのブロックに分けられた森を楽しめます。,田原市役所（街づくり推進課）,0531-22-1111,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/26 13:57:17
147,POINT(137.1508957147 34.6304166608078),da070121,シデコブシ自生地　(椛、伊川津、藤七原、黒河）,シデコブシは自生地が伊勢湾周辺に限定された珍しい植物です。,田原市役所　教育部　文化財課,0531-22-1720　,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/26 13:58:08
148,POINT(137.1508957147 34.6304166608078),da070121,シデコブシ自生地　(椛、伊川津、藤七原、黒河）,シデコブシは自生地が伊勢湾周辺に限定された珍しい植物です。,田原市役所　教育部　文化財課,0531-22-1720,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/26 14:03:05
149,POINT(137.24282138223 34.6714583777034),da070121,シデコブシ自生地　(椛、伊川津、藤七原、黒河）,シデコブシは自生地が伊勢湾周辺に限定された珍しい植物です。,田原市役所　教育部　文化財課,0531-22-1720,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/26 14:03:34
151,POINT(137.055360190435 34.5848305515049),da070124,ハマボウ、ハマカンゾウ,ハマボウ、ハマカンゾウともに海岸付近に自生する夏の花です。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 11:38:37
152,POINT(137.025404087367 34.5855117674924),da070125,キャベツ畑・菜の花畑,見渡す限りのキャベツ畑は見事。菜の花畑は「常春の渥美半島」を実感させてくれます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 11:38:03
153,POINT(137.037246012027 34.59013173794),da070125,キャベツ畑・菜の花畑,見渡す限りのキャベツ畑は見事。菜の花畑は「常春の渥美半島」を実感させてくれます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 11:39:22
154,POINT(137.241968086919 34.6449450844178),da070128,黒河湿地（くろがわしっち）植物群落,シデコブシなどの貴重な植物が数多く群生しています。,田原市役所　教育部　文化財課,0531-22-1720　,http://www.city.tahara.aichi.jp/shisetsu/kankou/1002461.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/04 11:41:50
156,POINT(136.8590901164 35.298500192437),da010101,一宮桜まつり（青木川）,桜を中心とした祭りです。,一宮市経済部商工観光課,0586-28-9131,https://www.city.ichinomiya.aichi.jp/shisei/keizai/1010115/1000007/1004941.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 10:26:12
157,POINT(136.808283409632 35.3052562004422),da010101,一宮桜まつり（大江川緑道）,桜を中心とした祭りです。,一宮市経済部商工観光課,0586-28-9131,https://www.city.ichinomiya.aichi.jp/shisei/keizai/1010115/1000007/1004941.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 10:26:36
158,POINT(136.80671339584 35.3568036512871),da010101,一宮桜まつり（木曽川堤）,桜を中心とした祭りです。,一宮市経済部商工観光課,0586-28-9131,https://www.city.ichinomiya.aichi.jp/shisei/keizai/1010115/1000007/1004941.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 10:27:11
159,POINT(136.823109526953 35.3305390094773),da010101,一宮桜まつり（浅井山公園）,桜を中心とした祭りです。,一宮市経済部商工観光課,0586-28-9131,https://www.city.ichinomiya.aichi.jp/shisei/keizai/1010115/1000007/1004941.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 10:27:56
160,POINT(136.749066796447 35.3162257917811),da010101,一宮桜まつり（尾西緑道）,桜を中心とした祭りです。,一宮市経済部商工観光課,0586-28-9131,https://www.city.ichinomiya.aichi.jp/shisei/keizai/1010115/1000007/1004941.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 10:29:06
161,POINT(136.794480391129 35.305827475839),da010101,一宮桜まつり（稲荷公園）,桜を中心とした祭りです。,一宮市経済部商工観光課,0586-28-9131,https://www.city.ichinomiya.aichi.jp/shisei/keizai/1010115/1000007/1004941.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 10:28:15
162,POINT(136.840779325177 35.2169809702651),da010125,五条川の桜（清須）,五条川堤防に桜並木があり、周囲の景色との彩りが美しい。,清須市役所,052-400-2911,http://www.city.kiyosu.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/07 12:01:01
163,POINT(136.91116810145 34.9106983044027),da030102,矢勝川堤に咲く百万本の彼岸花,矢勝川の堤に百万本が咲く日本有数の彼岸花群生地。,新美南吉記念館,0569-26-4888,http://www.nankichi.gr.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
164,POINT(136.999496389494 34.7034345655497),da030109,干ダコ,日間賀島の珍風物詩,南知多町観光協会,0569-65-0711,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 10:46:15
165,POINT(137.665175554677 35.0768953809687),da060122,振草（ふりくさ）渓谷,北設楽郡東栄町を流れる川にあります。ポットホールを多数見ることができます。日本の紅葉百選に選ばれています。,東栄町役場　振興課,0536-76-0502,http://www.town.toei.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 10:55:27
166,POINT(137.762715108158 35.0996854255568),da060122,大入（おおにゅう）渓谷,北設楽郡東栄町を流れる川にあります。ポットホールを多数見ることができます。日本の紅葉百選に選ばれています。,東栄町役場　振興課,0536-76-0502,http://www.town.toei.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 10:56:14
167,POINT(137.199815889416 34.8320186364827),da070111,早春の西迫町（にしばさまちょう）,つま物用に栽培されている、桜・桃・菜の花が早春の集落を彩る,蒲郡市役所観光商工課,0533-66-1120,https://www.city.gamagori.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 11:14:42
168,POINT(137.018795506258 34.5809061140886),da070122,渡り鳥,伊良湖岬では毎年秋に、南へ飛び立つタカの大群が見られます。,渥美半島観光ビューロー,0531-23-3516,http://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 11:18:43
169,POINT(136.932568321917 34.727079245345),da030105,国営農地開発事業南知多地区,丘陵地帯に農地造成された広大な畑に様々な農作物が栽培されています。,南知多町役場建設経済部産業振興課,0569-65-0711,https://www.town.minamichita.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/26 15:17:47
170,POINT(137.383028516676 34.7633887675432),da070129,路面電車,日本では珍しい道路を走る電車です。,"","","","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
171,POINT(137.08305532389 34.9672897704579),da040108,明治用水,明治用水は、矢作川から取水され安城市を中心に西三河南部を潤す農工業用水路です。今はほとんどが管水路化され、自転車道や遊歩道として地域の人びとに親しまれています。,水土里ネット明治用水【明治用水土地改良区】,0566-76-6241,http://midorinet-meiji.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 11:29:03
172,POINT(137.027255196074 35.2212605732742),da010109,長池,長池周辺はウォーキングコースになっています。,尾張旭市都市整備課公園緑地係,0561-76-8161,http://www.city.owariasahi.lg.jp/kurasi/seikatu/park/shiroyama/001.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 11:39:57
173,POINT(137.233840067986 34.8458606217635),da070123,清田の大クス,樹齢推定1000年以上、樹高22メートル、根回り13.6メートル。愛知県内最大です。,蒲郡市観光協会,0533-68-2526,https://www.gamagori.jp/spot/839,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/26 15:24:16
174,POINT(137.020185942097 34.5836304250503),da070127,（日本の道百選）渥美サイクリングロード,渥美半島の太平洋側には、海岸に沿って走る全長約40kmのサイクリングロードが整備されています。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/26 15:29:53
175,POINT(137.221720503625 34.626321331346),da070126,電照菊,電照菊の栽培で、群立する温室は煌々と輝く夜景となります。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/26 15:30:21
178,POINT(137.044765949249 35.3181717232989),da112233,あい農パーク春日井（春日井市ふれあい農業公園）,子どもから大人まで、手ぶらで気軽に「農」に触れることができる農業公園です。,あい農パーク春日井（春日井市ふれあい農業公園）,0568-37-1831,http://kasugai-nougyoukouen.jp/,"","",システム管理者,2021/02/03 10:10:29,システム管理者,2021/02/03 11:35:41
